,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-01-01,63,15,,,11,,17,,,,,2711,878,,46,404,99,141,11,17,17,517
2017-01-02,87,13,,,6,,19,,,,,2911,1017,,71,641,102,174,11,25,9,686
2017-01-03,100,13,,,8,,15,,,,,3292,922,,65,536,153,199,4,25,11,431
2017-01-04,83,15,,,10,,12,,,,,2909,932,,71,533,127,202,5,18,19,377
2017-01-05,85,19,,,5,,15,,,,,2930,914,,89,542,172,205,9,35,13,501
2017-01-06,65,17,,,42,,21,,,,,3143,1010,,74,497,152,233,6,28,14,536
2017-01-07,93,14,,,17,,25,,,,,3091,824,,103,496,108,170,7,22,11,365
2017-01-08,89,24,,,12,,31,,,,,4969,879,,80,516,116,156,7,24,11,459
2017-01-09,127,16,,,12,,20,,,,,4264,1000,,143,560,129,195,10,40,12,467
2017-01-10,107,26,,,15,,11,,,,,3795,1077,,110,563,135,215,9,34,24,536
2017-01-11,108,22,,,11,,21,,,,,3520,958,,101,541,146,216,2,20,20,658
2017-01-12,83,21,,,16,,26,,,,,5365,1024,,111,608,152,220,10,22,23,553
2017-01-13,87,12,,,4,,24,,,,,4380,1024,,85,689,141,187,12,17,19,733
2017-01-14,58,15,,,14,,16,,,,,3064,804,,57,467,111,164,5,26,19,434
2017-01-15,97,22,,,6,,21,,,,,3219,1089,,65,581,102,181,15,31,11,838
2017-01-16,111,20,,,17,,18,,,,,4115,972,,102,629,118,192,7,22,27,722
2017-01-17,79,13,,,11,,16,,,,,3689,1042,,105,575,127,210,9,26,50,458
2017-01-18,109,19,,,7,,5,,,,,3759,1139,,98,568,149,180,9,24,23,515
2017-01-19,109,20,,,11,,24,,,,,3889,1213,,79,537,152,197,9,34,16,532
2017-01-20,83,22,,,8,,21,,,,,3221,1032,,71,483,126,195,9,15,18,519
2017-01-21,62,9,,,5,,8,,,,,2648,894,,60,406,97,152,5,34,16,484
2017-01-22,55,9,,,11,,15,,,,,2964,999,,77,487,119,164,6,19,36,382
2017-01-23,58,13,,,9,,11,,,,,3440,1067,,94,590,171,206,5,18,29,542
2017-01-24,56,32,,,7,,17,,,,,3716,1005,,93,514,177,208,3,30,24,598
2017-01-25,54,16,,,11,,13,,,,,3889,1065,,86,555,171,206,5,30,21,731
2017-01-26,95,15,,,10,,19,,,,,3670,978,,94,483,176,195,11,28,32,471
2017-01-27,73,15,,,2,,18,,,,,3212,889,,71,510,111,210,9,35,25,468
2017-01-28,98,27,,,18,,19,,,,,3071,814,,89,449,146,168,7,34,39,583
2017-01-29,79,30,,,7,,14,,,,,3291,910,,58,477,118,144,5,28,32,488
2017-01-30,92,21,,,8,,24,,,,,3542,1008,,103,542,159,198,8,30,43,553
2017-01-31,71,21,,,9,,29,,,,,3295,1026,,96,477,173,231,8,21,29,596
2017-02-01,105,35,,,14,,12,,,,,3232,931,,84,497,157,188,8,31,38,545
2017-02-02,79,10,,,8,,22,,,,,3404,931,,110,530,146,204,4,25,17,472
2017-02-03,91,19,,,10,,13,,,,,3264,915,,85,468,149,189,3,24,25,575
2017-02-04,80,18,,,7,,21,,,,,2656,799,,72,478,126,170,9,39,22,582
2017-02-05,84,18,,,10,,26,,,,,2900,970,,70,551,127,160,10,32,14,434
2017-02-06,58,19,,,9,,26,,,,,3143,904,,89,517,141,187,9,32,21,442
2017-02-07,87,25,,,8,,26,,,,,3441,1020,,111,551,186,210,6,32,14,492
2017-02-08,81,21,,,4,,11,,,,,3333,890,,94,477,156,218,5,29,19,436
2017-02-09,105,26,,,19,,8,,,,,3381,956,,104,538,151,220,12,35,9,514
2017-02-10,99,12,,,10,,8,,,,,3316,922,,87,469,143,279,3,32,12,519
