,en,en,en,en,en,en,en,en,en,en,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw
,Economy_of_Rwanda,Education_in_Rwanda,Kigali,Kinyarwanda,Louise_Mushikiwabo,Paul_Kagame,Rose_Kabuye,Rwanda,Rwanda,Umuganda,Agnes_Binagwaho,Ikinyarwanda,Kigali,Louise_Mushikiwabo,Paul_Kagame,Paul_Rusesabagina,Rose_Kabuye,Rwanda,Rwanda,Ubukungu_bw%27U_Rwanda,Uburezi_mu_Rwanda,Umuganda
2017-01-01,11.0,99.0,141.0,17.0,517.0,46.0,17.0,2711.0,,404.0,,,,,,878.0,,63.0,15.0,17.0,11.0,
2017-01-02,11.0,102.0,174.0,25.0,686.0,71.0,9.0,2911.0,,641.0,,,,,,1017.0,,87.0,13.0,19.0,6.0,
2017-01-03,4.0,153.0,199.0,25.0,431.0,65.0,11.0,3292.0,,536.0,,,,,,922.0,,100.0,13.0,15.0,8.0,
2017-01-04,5.0,127.0,202.0,18.0,377.0,71.0,19.0,2909.0,,533.0,,,,,,932.0,,83.0,15.0,12.0,10.0,
2017-01-05,9.0,172.0,205.0,35.0,501.0,89.0,13.0,2930.0,,542.0,,,,,,914.0,,85.0,19.0,15.0,5.0,
2017-01-06,6.0,152.0,233.0,28.0,536.0,74.0,14.0,3143.0,,497.0,,,,,,1010.0,,65.0,17.0,21.0,42.0,
2017-01-07,7.0,108.0,170.0,22.0,365.0,103.0,11.0,3091.0,,496.0,,,,,,824.0,,93.0,14.0,25.0,17.0,
2017-01-08,7.0,116.0,156.0,24.0,459.0,80.0,11.0,4969.0,,516.0,,,,,,879.0,,89.0,24.0,31.0,12.0,
2017-01-09,10.0,129.0,195.0,40.0,467.0,143.0,12.0,4264.0,,560.0,,,,,,1000.0,,127.0,16.0,20.0,12.0,
2017-01-10,9.0,135.0,215.0,34.0,536.0,110.0,24.0,3795.0,,563.0,,,,,,1077.0,,107.0,26.0,11.0,15.0,
2017-01-11,2.0,146.0,216.0,20.0,658.0,101.0,20.0,3520.0,,541.0,,,,,,958.0,,108.0,22.0,21.0,11.0,
2017-01-12,10.0,152.0,220.0,22.0,553.0,111.0,23.0,5365.0,,608.0,,,,,,1024.0,,83.0,21.0,26.0,16.0,
2017-01-13,12.0,141.0,187.0,17.0,733.0,85.0,19.0,4380.0,,689.0,,,,,,1024.0,,87.0,12.0,24.0,4.0,
2017-01-14,5.0,111.0,164.0,26.0,434.0,57.0,19.0,3064.0,,467.0,,,,,,804.0,,58.0,15.0,16.0,14.0,
2017-01-15,15.0,102.0,181.0,31.0,838.0,65.0,11.0,3219.0,,581.0,,,,,,1089.0,,97.0,22.0,21.0,6.0,
2017-01-16,7.0,118.0,192.0,22.0,722.0,102.0,27.0,4115.0,,629.0,,,,,,972.0,,111.0,20.0,18.0,17.0,
2017-01-17,9.0,127.0,210.0,26.0,458.0,105.0,50.0,3689.0,,575.0,,,,,,1042.0,,79.0,13.0,16.0,11.0,
2017-01-18,9.0,149.0,180.0,24.0,515.0,98.0,23.0,3759.0,,568.0,,,,,,1139.0,,109.0,19.0,5.0,7.0,
2017-01-19,9.0,152.0,197.0,34.0,532.0,79.0,16.0,3889.0,,537.0,,,,,,1213.0,,109.0,20.0,24.0,11.0,
2017-01-20,9.0,126.0,195.0,15.0,519.0,71.0,18.0,3221.0,,483.0,,,,,,1032.0,,83.0,22.0,21.0,8.0,
2017-01-21,5.0,97.0,152.0,34.0,484.0,60.0,16.0,2648.0,,406.0,,,,,,894.0,,62.0,9.0,8.0,5.0,
2017-01-22,6.0,119.0,164.0,19.0,382.0,77.0,36.0,2964.0,,487.0,,,,,,999.0,,55.0,9.0,15.0,11.0,
2017-01-23,5.0,171.0,206.0,18.0,542.0,94.0,29.0,3440.0,,590.0,,,,,,1067.0,,58.0,13.0,11.0,9.0,
2017-01-24,3.0,177.0,208.0,30.0,598.0,93.0,24.0,3716.0,,514.0,,,,,,1005.0,,56.0,32.0,17.0,7.0,
2017-01-25,5.0,171.0,206.0,30.0,731.0,86.0,21.0,3889.0,,555.0,,,,,,1065.0,,54.0,16.0,13.0,11.0,
2017-01-26,11.0,176.0,195.0,28.0,471.0,94.0,32.0,3670.0,,483.0,,,,,,978.0,,95.0,15.0,19.0,10.0,
2017-01-27,9.0,111.0,210.0,35.0,468.0,71.0,25.0,3212.0,,510.0,,,,,,889.0,,73.0,15.0,18.0,2.0,
2017-01-28,7.0,146.0,168.0,34.0,583.0,89.0,39.0,3071.0,,449.0,,,,,,814.0,,98.0,27.0,19.0,18.0,
