,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-01-01,63,,,,,,,,,,,2711,,,,,,,,,,
2017-01-02,87,,,,,,,,,,,2911,,,,,,,,,,
2017-01-03,100,,,,,,,,,,,3292,,,,,,,,,,
2017-01-04,83,,,,,,,,,,,2909,,,,,,,,,,
2017-01-05,85,,,,,,,,,,,2930,,,,,,,,,,
2017-01-06,65,,,,,,,,,,,3143,,,,,,,,,,
2017-01-07,93,,,,,,,,,,,3091,,,,,,,,,,
2017-01-08,89,,,,,,,,,,,4969,,,,,,,,,,
2017-01-09,127,,,,,,,,,,,4264,,,,,,,,,,
2017-01-10,107,,,,,,,,,,,3795,,,,,,,,,,
2017-01-11,108,,,,,,,,,,,3520,,,,,,,,,,
2017-01-12,83,,,,,,,,,,,5365,,,,,,,,,,
2017-01-13,87,,,,,,,,,,,4380,,,,,,,,,,
2017-01-14,58,,,,,,,,,,,3064,,,,,,,,,,
2017-01-15,97,,,,,,,,,,,3219,,,,,,,,,,
2017-01-16,111,,,,,,,,,,,4115,,,,,,,,,,
2017-01-17,79,,,,,,,,,,,3689,,,,,,,,,,
2017-01-18,109,,,,,,,,,,,3759,,,,,,,,,,
2017-01-19,109,,,,,,,,,,,3889,,,,,,,,,,
2017-01-20,83,,,,,,,,,,,3221,,,,,,,,,,
2017-01-21,62,,,,,,,,,,,2648,,,,,,,,,,
2017-01-22,55,,,,,,,,,,,2964,,,,,,,,,,
2017-01-23,58,,,,,,,,,,,3440,,,,,,,,,,
2017-01-24,56,,,,,,,,,,,3716,,,,,,,,,,
2017-01-25,54,,,,,,,,,,,3889,,,,,,,,,,
2017-01-26,95,,,,,,,,,,,3670,,,,,,,,,,
2017-01-27,73,,,,,,,,,,,3212,,,,,,,,,,
2017-01-28,98,,,,,,,,,,,3071,,,,,,,,,,
2017-01-29,79,,,,,,,,,,,3291,,,,,,,,,,
2017-01-30,92,,,,,,,,,,,3542,,,,,,,,,,
2017-01-31,71,,,,,,,,,,,3295,,,,,,,,,,
2017-02-01,105,,,,,,,,,,,3232,,,,,,,,,,
2017-02-02,79,,,,,,,,,,,3404,,,,,,,,,,
2017-02-03,91,,,,,,,,,,,3264,,,,,,,,,,
2017-02-04,80,,,,,,,,,,,2656,,,,,,,,,,
2017-02-05,84,,,,,,,,,,,2900,,,,,,,,,,
2017-02-06,58,,,,,,,,,,,3143,,,,,,,,,,
2017-02-07,87,,,,,,,,,,,3441,,,,,,,,,,
2017-02-08,81,,,,,,,,,,,3333,,,,,,,,,,
2017-02-09,105,,,,,,,,,,,3381,,,,,,,,,,
2017-02-10,99,,,,,,,,,,,3316,,,,,,,,,,
2017-02-11,109,,,,,,,,,,,2945,,,,,,,,,,
2017-02-12,89,,,,,,,,,,,3650,,,,,,,,,,
2017-02-13,114,,,,,,,,,,,3825,,,,,,,,,,
